rank,factor,total_refs,as_cause,as_effect,transcripts
133,water source availability,7,4,3,6
134,water system maintenance,7,0,7,6
135,water-borne diseases,7,0,7,7
136,WASH forum,6,6,0,3
137,appropriate waste disposal site,6,6,0,2
138,clean water supply,6,3,3,4
139,community sense of belongingness,6,3,3,4
140,community sensitization,6,6,0,4
141,coordinated effort,6,4,2,5
142,drought,6,6,0,6
143,environmental sanitation,6,0,6,6
144,financial mismanagement,6,3,3,5
145,fund mismanagement,6,4,2,3
146,funding,6,6,0,4
147,governance,6,5,1,4
148,improved coordination,6,6,0,4
149,inter-stakeholder coordination,6,5,1,3
150,latrine functionality,6,0,6,2
151,monitoring,6,6,0,2
152,monitoring and evaluation,6,5,1,4
153,multi-stakeholder collaboration,6,5,1,5
154,partner coordination,6,4,2,6
155,pastoralist mobility,6,5,1,2
156,personal hygiene,6,0,6,6
157,proper budget use,6,3,3,2
158,proper use of water schemes,6,0,6,5
159,qualified manpower,6,4,2,2
160,resources at sub-county level,6,6,0,2
161,river contamination,6,4,2,4
162,sanitation improvement,6,2,4,5
163,sanitation service,6,0,6,4
164,service provider accountability,6,1,5,2
165,service sustainability,6,0,6,5
166,sewerage system,6,4,2,3
167,solar energy,6,6,0,3
168,staff mobility,6,4,2,1
169,sustainable WASH service,6,0,6,4
170,water infrastructure development,6,0,6,5
171,water scheme longevity,6,0,6,6
172,water service reliability,6,0,6,6
173,water storage capacity,6,2,4,4
174,water supply coverage,6,0,6,6
175,water supply line contamination,6,0,6,3
176,water treatment,6,2,4,4
177,adequate finance,5,5,0,2
178,arid climate,5,5,0,5
179,attitude change,5,4,1,1
180,borehole yields,5,2,3,2
181,committee accountability,5,1,4,4
182,community awareness creation,5,4,1,3
183,community awareness programs,5,4,1,5
184,community savings,5,4,1,5
185,continuous training,5,5,0,3
186,distance to water source,5,2,3,5
187,donor funding,5,5,0,5
188,dumping site establishment,5,0,5,3
189,duplication of effort,5,0,5,4
190,electric power supply,5,3,2,3
191,environmental and sanitation problems,5,0,5,2
192,equitable water access,5,0,5,5
193,financial capacity,5,5,0,4
194,groundwater contamination,5,2,3,5
195,information sharing,5,2,3,4
196,infrastructure breakdown,5,2,3,5
197,infrastructure development,5,1,4,4
198,infrastructure maintenance,5,0,5,4
199,infrastructure quality,5,1,4,3
200,maintenance costs,5,1,4,3
201,multi-sector coordination,5,4,1,4
202,pipeline extensions,5,4,1,4
203,political influence,5,5,0,5
204,problem identification,5,1,4,5
205,project duplication,5,1,4,4
206,project implementation,5,1,4,4
207,project revenue,5,3,2,1
208,public health,5,0,5,5
209,rainwater harvesting,5,5,0,4
210,regular maintenance,5,5,0,4
211,repair response time,5,1,4,4
212,river water use,5,2,3,2
213,sanitation service capacity,5,0,5,3
214,sanitation service delivery,5,0,5,5
215,sanitation service improvement,5,1,4,5
216,scheme maintenance,5,0,5,3
217,spare parts supply,5,4,1,5
218,staff retention,5,0,5,4
219,sufficient water supply,5,4,1,3
220,sustainable water supply,5,1,4,4
221,town cleanliness,5,0,5,5
222,trained manpower,5,4,1,4
223,transport,5,3,2,2
224,tree planting,5,4,1,4
225,vacuum truck availability,5,5,0,3
226,waste disposal site development,5,0,5,4
227,waste disposal site implementation,5,0,5,3
228,water and sanitation service sustainability,5,0,5,5
229,water infrastructure maintenance,5,1,4,4
230,water infrastructure protection,5,0,5,4
231,water project quality,5,1,4,1
232,water reservoir construction,5,3,2,3
233,water service availability,5,4,1,4
234,water supply sustainability,5,0,5,5
235,water system sustainability,5,0,5,4
236,water tank capacity,5,5,0,4
237,waterborne diseases,5,1,4,3
238,NGO engagement,4,2,2,2
239,WASH coordination,4,0,4,3
240,WASH service sustainability,4,0,4,2
241,WASHCo strengthening,4,4,0,2
242,access to clean water,4,2,2,4
243,access to pure water,4,3,1,3
244,adequate financing,4,4,0,1
245,adequate water supply,4,4,0,3
246,awareness,4,4,0,3
247,awareness programs,4,3,1,3
248,borehole construction,4,2,2,3
249,borehole maintenance,4,0,4,3
250,breakdown response,4,1,3,3
251,breakdown response time,4,0,4,4
252,committee management turnover,4,2,2,1
253,communicable diseases,4,0,4,4
254,community access to clean water,4,1,3,2
255,community capacity building,4,3,1,4
256,community fee payment,4,3,1,2
257,community ownership of project,4,2,2,1
258,community sanitation awareness,4,2,2,4
259,community water supply,4,0,4,3
260,construction materials quality,4,2,2,2
261,coordination with NGOs,4,4,0,3
262,corruption,4,3,1,3
263,dry season,4,4,0,3
264,dumping site,4,4,0,3
265,dumping site solution,4,2,2,2
266,environmental cleanliness,4,0,4,4
267,facility maintenance,4,1,3,2
268,financial constraint,4,4,0,3
269,financial transparency,4,1,3,3
270,flood,4,4,0,2
271,fund management,4,3,1,3
272,good governance,4,3,1,3
273,health expenditure,4,1,3,3
274,health problems,4,0,4,4
275,infrastructure damage,4,1,3,4
276,landfill site,4,4,0,3
277,latrine construction,4,1,3,3
278,liquid waste collection service,4,0,4,4
279,local spare parts availability,4,3,1,3
280,local technical capacity,4,2,2,3
281,maintenance cost coverage,4,0,4,4
282,maintenance of water schemes,4,0,4,4
283,maintenance response time,4,0,4,4
284,management quality,4,2,2,3
285,new water scheme construction,4,3,1,4
286,one-health package implementation,4,3,1,1
287,operational sustainability,4,0,4,3
288,pastoral community settlement,4,2,2,3
289,political instability,4,3,1,3
290,project failure,4,1,3,3
291,project success,4,0,4,2
292,proper site selection,4,4,0,1
293,proper waste management,4,4,0,2
294,public health problems,4,0,4,3
295,record keeping,4,3,1,3
296,regular stakeholder meetings,4,4,0,3
297,river pollution,4,2,2,4
298,river water quality,4,0,4,3
299,river water treatment,4,3,1,3
300,running costs,4,2,2,1
301,rural-urban migration,4,4,0,4
302,sand dam construction,4,4,0,4
303,sanitation and hygiene practices,4,1,3,4
304,sanitation and hygiene problems,4,0,4,4
305,sanitation practices,4,0,4,4
306,sanitation problem,4,0,4,4
307,sanitation problem solving,4,0,4,3
308,scheme financial capacity,4,2,2,2
309,school enrollment,4,0,4,3
310,sense of belongingness,4,2,2,2
311,sense of community ownership,4,1,3,1
312,service delivery,4,0,4,3
313,solar power,4,4,0,3
314,stagnant water,4,2,2,2
315,stakeholder participation,4,3,1,3
316,sustainable water and sanitation service,4,0,4,3
317,technical skills training,4,4,0,1
318,time spent fetching water,4,1,3,3
319,timely repair,4,1,3,3
320,training continuity,4,2,2,2
321,underground water availability,4,1,3,2
322,urbanization,4,4,0,4
323,waste collection capacity,4,0,4,3
324,waste disposal capacity,4,0,4,3
325,waste disposal infrastructure,4,0,4,4
326,waste disposal practices,4,2,2,2
327,waste disposal site construction,4,3,1,2
328,waste disposal site identification,4,2,2,2
329,waste management practices,4,0,4,4
330,water affordability,4,0,4,3
331,water bill,4,4,0,1
332,water demand satisfaction,4,0,4,4
333,water infrastructure expansion,4,2,2,3
334,water infrastructure sustainability,4,0,4,2
335,water policy/bill,4,4,0,1
336,water project completion,4,0,4,4
337,water resource identification,4,1,3,2
338,water salinity,4,2,2,4
339,water scheme utilization,4,0,4,3
340,water source functionality,4,3,1,2
341,water source maintenance,4,1,3,3
342,water supply volume,4,2,2,2
343,water yields,4,0,4,2
344,water/sanitation service sustainability,4,0,4,1
345,woreda budget,4,1,3,2
346,woreda water office capacity,4,2,2,4
347,FundiFix model,3,3,0,2
348,FundiFix partnership,3,3,0,1
349,NGO coordination,3,3,0,3
350,NGO partnerships,3,2,1,2
351,One-WASH program implementation,3,0,3,1
352,WASH Forum,3,3,0,2
353,WASH committee effectiveness,3,0,3,2
354,WASH coordination task force,3,3,0,1
355,WASH problem resolution,3,0,3,3
356,WASH service delivery,3,0,3,3
357,WASHCo capacity,3,1,2,2
358,WUC account management,3,2,1,1
359,Water Act,3,3,0,1
360,access to appropriate waste disposal place,3,3,0,1
361,accountability for fund misuse,3,0,3,2
362,additional latrine construction,3,1,2,1
363,all-inclusive management model,3,3,0,1
364,alternative water sources,3,3,0,3
365,appropriate research,3,3,0,2
366,aridity,3,1,2,3
367,asset replacement,3,0,3,2
368,automatic billing system,3,3,0,1
369,bid pricing accuracy,3,1,2,1
370,borehole drilling,3,2,1,3
371,borehole salinity,3,3,0,2
372,breakdowns,3,1,2,1
373,budget availability,3,3,0,3
374,budget source diversification,3,1,2,2
375,capital budget,3,2,1,3
376,clean environment,3,2,1,2
377,climate change mitigation,3,0,3,3
378,committee management capacity,3,0,3,2
379,committee role clarity,3,2,1,1
380,committee stability,3,0,3,3
381,committee turnover,3,3,0,2
382,community acceptance of dumping site,3,1,2,2
383,community awareness about sanitation,3,3,0,1
384,community awareness on proper use of water schemes,3,2,1,2
385,community contribution,3,2,1,2
386,community education,3,2,1,3
387,community empowerment,3,3,0,1
388,community financial contributions,3,2,1,3
389,community health disorders,3,0,3,1
390,community hygiene,3,0,3,3
391,community initiative,3,3,0,1
392,community management capacity,3,0,3,3
393,community ownership mindset,3,1,2,2
394,community ownership of water schemes,3,3,0,3
395,community participation in water projects,3,1,2,2
396,community payment for waste collection,3,2,1,2
397,community priority identification,3,2,1,1
398,community self-management of water service,3,2,1,1
399,community sense of ownership of water schemes,3,2,1,2
400,community skills in O&M,3,1,2,1
401,community trust,3,0,3,3
402,community waste sorting,3,3,0,1
403,community willingness to pay,3,2,1,2
404,consistent messaging about Whave Solutions,3,1,2,1
405,construction quality,3,0,3,1
406,coordination among stakeholders,3,3,0,2
407,coordination continuity,3,1,2,3
408,cost effectiveness,3,0,3,2
409,county water policy,3,3,0,2
410,directive implementation,3,1,2,1
411,distance to fetch water,3,1,2,2
412,dumping site availability,3,1,2,2
413,duplication of efforts,3,0,3,3
414,duplication of interventions,3,0,3,3
415,economic growth,3,0,3,2
416,efficient water use,3,1,2,3
417,electricity costs,3,1,2,1
418,employment opportunity,3,0,3,3
419,environmental conservation,3,1,2,2
420,expert capacity,3,0,3,1
421,finance,3,3,0,2
422,financial report timeliness,3,0,3,1
423,financial reserves,3,1,2,2
424,financing,3,3,0,3
425,fund mobilization,3,2,1,2
426,garbage truck availability,3,2,1,2
427,good reputation,3,1,2,1
428,government financial support,3,3,0,3
429,government funding,3,3,0,3
430,government-NGO collaboration,3,3,0,2
431,health conditions,3,0,3,3
432,health extension workers,3,3,0,3
433,health outcomes,3,0,3,3
434,household water supply,3,1,2,3
435,hydrological data,3,2,1,1
436,hygiene and sanitation practices,3,0,3,2
437,improper waste disposal in ditches,3,0,3,1
438,improper waste dumping,3,1,2,2
439,inappropriate waste disposal practices,3,3,0,2
440,infrastructure maintenance capacity,3,0,3,3
441,infrastructure rehabilitation,3,0,3,2
442,infrastructure sustainability,3,0,3,2
443,institutional accountability,3,0,3,3
444,institutional capacity,3,3,0,1
445,institutional coordination,3,3,0,3
446,institutional liquid waste discharge to rivers,3,1,2,1
447,institutional/legal framework,3,3,0,1
448,investment attraction,3,0,3,3
449,job opportunities,3,0,3,3
450,knowledge,3,2,1,1
451,latrine capacity,3,1,2,2
452,latrine filling rate,3,1,2,1
453,latrine maintenance,3,0,3,2
454,latrine/pit emptying service access,3,1,2,1
455,liquid waste filtering systems,3,3,0,1
456,livestock and agricultural production,3,1,2,2
457,local expert capacity,3,2,1,2
458,local maintenance capacity,3,0,3,3
459,long-term water projects,3,2,1,1
460,machineries and equipment,3,3,0,1
461,machinery breakdown,3,1,2,2
462,maintenance service,3,2,1,3
463,maintenance team transportation,3,3,0,1
464,maintenance timeliness,3,1,2,2
465,management capacity,3,0,3,3
466,management committee turnover,3,3,0,2
467,management effectiveness,3,0,3,3
468,minor repairs,3,1,2,3
469,misuse of water revenue,3,1,2,1
470,monitoring and evaluation system,3,3,0,3
471,monitoring effectiveness,3,0,3,2
472,monitoring system,3,3,0,3
473,nomadic community settlement,3,1,2,1
474,old water supply lines,3,3,0,3
475,operation and maintenance capacity,3,0,3,3
476,operation and maintenance knowledge,3,1,2,1
477,personal and community hygiene,3,0,3,2
478,pipeline monitoring,3,1,2,1
479,political interference in committee management,3,3,0,2
480,population size,3,2,1,3
481,preventive maintenance,3,3,0,3
482,professional water utility management,3,3,0,1
483,project financial resources,3,1,2,2
484,project operationalization,3,0,3,1
485,project relevance to community,3,1,2,2
486,project stalling,3,1,2,3
487,prompt repair,3,1,2,1
488,pump availability,3,2,1,2
489,pump breakdown,3,1,2,2
490,pump functionality,3,1,2,2
491,qualified personnel,3,2,1,2
492,regular monitoring of water schemes,3,2,1,1
493,regular water supply,3,1,2,3
494,rehabilitation needs,3,1,2,1
495,repair capacity,3,0,3,3
496,repair timeliness,3,0,3,3
497,reservoir capacity,3,2,1,2
498,resource efficiency,3,0,3,3
499,resource pooling,3,2,1,1
500,resource wastage,3,0,3,3
501,revenue accountability,3,1,2,2
502,revenue management,3,2,1,3
503,river water contamination,3,0,3,3
504,rocky terrain,3,3,0,2
505,rural road infrastructure,3,3,0,2
506,rural scheme failure,3,0,3,1
507,rural scheme management,3,1,2,2
508,rural water service sustainability,3,0,3,2
509,salinity levels,3,3,0,2
510,sand dams,3,3,0,2
511,sanitation access,3,0,3,2
512,sanitation and hygiene awareness,3,2,1,3
513,sanitation behavior change,3,0,3,3
514,sanitation compliance,3,0,3,2
515,sanitation conditions,3,1,2,3
516,sanitation infrastructure,3,3,0,2
517,sanitation outcomes,3,0,3,3
518,scheme accessibility,3,0,3,1
519,scheme monitoring,3,1,2,2
520,security issues,3,3,0,1
521,service continuity,3,0,3,2
522,service coverage,3,0,3,3
523,service delivery system,3,2,1,1
524,sewage disposal cost,3,1,2,1
525,sewage dumping truck availability,3,2,1,1
526,sewerage/drainage lines,3,2,1,1
527,simultaneous maintenance response capacity,3,2,1,1
528,skills,3,2,1,1
529,solar pump adoption,3,1,2,2
530,solution implementation,3,0,3,3
531,staffing,3,2,1,1
532,stakeholder awareness,3,3,0,1
533,stakeholder meetings,3,3,0,3
534,stakeholder networking,3,3,0,1
535,stream development,3,1,2,1
536,strong WASH coordination,3,3,0,1
537,suction truck utilization,3,2,1,1
538,sufficient water service,3,2,1,1
539,sump wells in seasonal rivers,3,3,0,1
540,supervision quality,3,1,2,1
541,surface water availability,3,1,2,1
542,system functionality,3,1,2,3
543,technical capacity,3,0,3,2
544,technology adoption,3,1,2,3
545,timely project completion,3,0,3,3
546,town environmental quality,3,2,1,1
547,town growth,3,2,1,3
548,transport availability,3,2,1,2
549,transport capacity,3,2,1,1
550,tree plantation,3,2,1,1
551,uncontrolled waste dumping,3,2,1,1
552,use of untreated water,3,1,2,3
553,vandalism,3,1,2,2
554,waiting time at water sources,3,1,2,2
555,waste accumulation,3,1,2,3
556,waste collection vehicles,3,3,0,2
557,waste disposal service,3,0,3,2
558,waste management capacity,3,0,3,3
559,waste volume,3,1,2,2
560,water and sanitation service improvement,3,0,3,3
561,water availability during drought,3,0,3,2
562,water facility development,3,0,3,3
563,water facility management,3,1,2,1
564,water infrastructure,3,0,3,3
565,water line rehabilitation,3,2,1,2
566,water line replacement,3,1,2,3
567,water point sustainability,3,0,3,1
568,water policy and regulations,3,3,0,2
569,water pressure,3,2,1,2
570,water problems,3,1,2,3
571,water project funding,3,0,3,3
572,water project study quality,3,1,2,1
573,water pump functionality,3,0,3,2
574,water pumping cost,3,0,3,1
575,water recycling,3,3,0,2
576,water reservoir capacity,3,3,0,3
577,water resource availability,3,3,0,3
578,water resource management,3,1,2,3
579,water resource scarcity,3,2,1,2
580,water scarcity,3,3,0,3
581,water scheme condition,3,0,3,2
582,water scheme contamination,3,1,2,2
583,water scheme coverage,3,0,3,3
584,water scheme management quality,3,0,3,1
585,water scheme operation,3,0,3,2
586,water sector budget allocation,3,0,3,3
587,water sector development,3,0,3,1
588,water sector funding,3,0,3,2
589,water sector performance,3,1,2,3
590,water service cost,3,1,2,2
591,water service performance,3,0,3,3
592,water service quality,3,0,3,3
593,water service revenue,3,2,1,3
594,water service solutions,3,0,3,3
595,water source adequacy,3,1,2,2
596,water source identification,3,1,2,2
597,water supply access at health facilities,3,3,0,1
598,water supply expansion project completion,3,2,1,2
599,water supply interruption,3,0,3,2
600,water supply reliability,3,0,3,3
601,water supply shortage alleviation,3,2,1,1
602,water sustainability,3,0,3,2
603,water system functionality,3,0,3,3
604,water system operation,3,0,3,2
605,water table levels,3,1,2,1
606,water tariffs,3,3,0,2
607,water theft,3,1,2,1
608,water treatment materials supply,3,0,3,1
609,water treatment requirements,3,2,1,2
610,water utility office capacity,3,1,2,1
611,willingness to pay,3,1,2,1
612,wise use of water resources,3,1,2,1
613,woreda technician capacity,3,1,2,1
614,woreda water office budget,3,3,0,3
615,youth employment,3,0,3,3
616,zonal water office and development partners,3,3,0,1
617,CDO transport (motorcycle),2,2,0,1
618,FundiFix maintenance contracts,2,2,0,1
619,FundiFix proximity,2,2,0,1
620,FundiFix technical expertise,2,2,0,2
621,Fundifix implementation,2,1,1,1
622,Ganery river water scheme,2,1,1,1
623,Health Extension program,2,2,0,1
624,NGO accountability,2,1,1,2
625,NGO budget limitations,2,2,0,1
626,NGO intervention,2,2,0,1
627,NGO local office presence in region,2,2,0,1
628,NGO-government collaboration,2,2,0,2
629,NGO-government coordination,2,1,1,2
630,O&M capacity,2,1,1,1
631,O&M effectiveness,2,0,2,1
632,O&M fund availability,2,1,1,1
633,O&M sustainability,2,0,2,1
634,ODF kebele achievement,2,0,2,1
635,WARMA licensing,2,1,1,1
636,WASH budget utilization,2,0,2,1
637,WASH committee capacity,2,1,1,2
638,WASH implementation,2,0,2,2
639,WASH principles adherence,2,2,0,1
640,WASH priority identification,2,1,1,1
641,WASH program effectiveness,2,0,2,1
642,WASH program performance,2,0,2,2
643,WASH service coverage,2,0,2,2
644,WASHCO financial capacity,2,1,1,1
645,WASHCO performance,2,0,2,2
646,WASHCo maintenance capacity,2,1,1,1
647,WASHCo performance,2,0,2,1
648,WSP financial sustainability,2,0,2,1
649,WSP management of community schemes,2,2,0,1
650,WSP management quality,2,0,2,1
651,WSP performance,2,0,2,2
652,WUC knowledge of responsibilities,2,1,1,1
653,WaSHCO capacity,2,2,0,1
654,Water ATM,2,2,0,1
655,Water ATM mobile payment system,2,2,0,1
656,Water Bill approval,2,2,0,1
657,access to basic sanitation items,2,1,1,1
658,access to potable water,2,1,1,2
659,access to spare parts and maintenance materials,2,1,1,1
660,accountability awareness,2,1,1,1
661,accountability mechanisms,2,1,1,2
662,achievement of sanitation goals,2,0,2,1
663,additional water schemes,2,2,0,2
664,adequate technicians,2,2,0,1
665,aging water facilities,2,2,0,2
666,aging water lines,2,2,0,2
667,agricultural productivity,2,1,1,2
668,algae contamination of stored water,2,0,2,1
669,alternative power sources,2,2,0,2
670,appropriate site selection,2,0,2,1
671,appropriate technology selection,2,2,0,2
672,appropriate waste disposal sites,2,2,0,2
673,appropriate waste dumping site,2,2,0,1
674,appropriate water pricing,2,0,2,1
675,area cleanliness,2,0,2,2
676,arid climatic conditions,2,2,0,2
677,artisan availability,2,1,1,1
678,attitudinal change,2,1,1,2
679,awareness campaigns,2,2,0,2
680,awareness enhancement program,2,2,0,1
681,awareness enhancement training,2,2,0,2
682,bathing service provision,2,0,2,1
683,beneficiary complaints,2,0,2,1
684,board management autonomy,2,2,0,1
685,borehole availability,2,0,2,2
686,borehole breakdown,2,0,2,2
687,borehole drilling capacity,2,1,1,1
688,borehole drilling risk,2,0,2,1
689,borehole maintenance frequency,2,1,1,1
690,borehole management quality,2,0,2,2
691,borehole quality,2,0,2,2
692,borehole repair capacity,2,0,2,2
693,borehole sustainability,2,0,2,2
694,borehole utilization,2,0,2,2
695,breakdown awareness,2,1,1,1
696,breakdown response capability,2,1,1,1
697,bucket fetching from wells,2,2,0,1
698,budget adequacy,2,0,2,2
699,budget allocation for sanitation,2,0,2,2
700,budget misuse,2,1,1,2
701,budget problem resolution,2,0,2,1
702,budget shortage,2,2,0,2
703,budget sufficiency,2,1,1,2
704,budget utilization efficiency,2,2,0,2
705,capacity building effectiveness,2,0,2,2
706,capacity building for management committees,2,2,0,1
707,capacity building of management committees,2,2,0,2
708,capacity building of water management committees,2,2,0,1
709,capacity building training for WASHCos,2,2,0,1
710,capacity development,2,0,2,2
711,capital availability,2,2,0,2
712,capital budget allocation,2,2,0,1
713,capital budget for water works,2,0,2,1
714,child illness,2,1,1,1
715,chlorinated water consumption,2,0,2,1
716,city administration decision-making,2,2,0,2
717,clean living environment,2,0,2,2
718,clean water source,2,2,0,1
719,clean work areas,2,1,1,1
720,coaching and mentorship,2,2,0,2
721,collaborative work,2,1,1,1
722,collective action,2,0,2,2
723,collective problem-solving,2,1,1,1
724,committee affordability,2,1,1,1
725,committee capacity building,2,2,0,2
726,committee cohesion,2,1,1,1
727,committee financial management,2,2,0,2
728,committee financial mismanagement,2,1,1,2
729,committee fund mismanagement,2,1,1,1
730,committee funds,2,1,1,2
731,committee governance stability,2,1,1,1
732,committee performance,2,0,2,1
733,committee technical skills,2,2,0,1
734,committee training,2,1,1,2
735,committee training on maintenance,2,2,0,2
736,common agreement on sanitation priority,2,2,0,1
737,communal latrine construction,2,0,2,2
738,communal latrine development,2,1,1,1
739,communicable disease,2,0,2,2
740,communication mechanisms between ministries and regional bureaus,2,1,1,1
741,community O&M cost,2,1,1,1
742,community acceptance of water project,2,1,1,1
743,community access to waste disposal,2,0,2,2
744,community accountability,2,2,0,2
745,community and stakeholder coordination,2,1,1,1
746,community awareness and mobilization,2,1,1,1
747,community awareness campaigns,2,2,0,2
748,community awareness on WASH,2,0,2,1
749,community awareness on hygiene,2,2,0,1
750,community awareness on water and sanitation,2,2,0,2
751,community awareness on water resources,2,2,0,1
752,community awareness on water scheme use,2,1,1,2
753,community awareness training,2,2,0,2
754,community borehole management,2,2,0,2
755,community capacity,2,1,1,2
756,community commitment to environmental cleanliness,2,1,1,1
757,community complaints,2,0,2,2
758,community confidence in local water officers,2,1,1,1
759,community conflict,2,0,2,1
760,community consultation in water scheme design,2,2,0,1
761,community contribution to maintenance,2,1,1,1
762,community contributions,2,2,0,2
763,community dependency on implementing actors,2,1,1,1
764,community detachment from water project,2,1,1,1
765,community development,2,0,2,2
766,community disease,2,0,2,2
767,community engagement from word go,2,2,0,1
768,community expectation of free water service,2,1,1,1
769,community exposure to new technology,2,1,1,1
770,community farming and income,2,1,1,1
771,community financial management,2,1,1,1
772,community funding capacity,2,1,1,1
773,community governance accountability,2,2,0,1
774,community health problems,2,0,2,2
775,community hygiene and sanitation,2,1,1,1
776,community income collection from water service,2,1,1,1
777,community knowledge,2,2,0,2
778,community knowledge of waste management,2,2,0,1
779,community latrine care,2,2,0,1
780,community leader training,2,1,1,1
781,community maintenance capacity,2,0,2,1
782,community migration,2,0,2,2
783,community mobility,2,2,0,2
784,community mobilization program,2,2,0,1
785,community motivation for sanitation,2,1,1,1
786,community motivation to manage borehole,2,1,1,1
787,community needs assessment,2,2,0,2
788,community ownership of projects,2,2,0,2
789,community ownership of scheme,2,1,1,1
790,community ownership of water projects,2,1,1,1
791,community ownership of water system,2,1,1,1
792,community participation in WASH,2,1,1,1
793,community participation in project design,2,2,0,2
794,community participation in water scheme development,2,2,0,2
795,community poverty,2,1,1,1
796,community project contribution,2,1,1,1
797,community project management,2,2,0,1
798,community representative participation,2,2,0,1
799,community responsibility for maintenance,2,1,1,2
800,community river water use,2,1,1,1
801,community sanitation practices,2,0,2,2
802,community sanitation responsibility,2,1,1,1
803,community sense of belonging,2,1,1,1
804,community settlement in villages,2,2,0,1
805,community technical skills,2,2,0,2
