DOC ID,Statement,Cause Factor,Effect Factor,Challenge / Solution
2,"There are various undergoing water projects in Weliso town, but the demand is not met yet since there is an increasing rate of population growth.",population growth,water demand,Challenge
2,"There could be the skill of coordination, but there is no commitment on this. People may participate on such charitable activities, but one who takes the initiative and does the coordination is needed.",coordination commitment,philanthropist and community participation in water services,Challenge
2,"Nowadays, we are somehow doing awareness's creation work on the issue using various platforms.",awareness creation on water and sanitation,sanitation and water service improvement,Solution
2,We are now getting budget from World Bank and the municipality for water and sanitation services. We need to use this budget efficiently.,World Bank and municipality budget,water and sanitation service funding,Solution
2,The other solution is allocating budget and preparing waste disposal site. Landfill site should be immediately prepared or given to the water and sanitation office.,budget allocation for waste disposal site,waste management infrastructure,Solution
2,"Urban Sanitation Committee has also been established this year by the federal level. And this committee is led by the mayor in urban administration level. Health, Water and Environment protection offices are included.",Urban Sanitation Committee,cross-sector coordination on water and sanitation,Solution
2,"They also participate on awareness creation work, budget planning and execution process with the municipality which is a very promising thing that has to be continued.",cross-sector collaboration on water and sanitation,budget planning and execution for sanitation,Solution
2,"Instead of blaming each other, every sector in the town needs to give priority to water and sanitation service.",inter-sector priority given to water and sanitation,water and sanitation service improvement,Solution
2,Learning and experience sharing platforms that are being conducted these days by the urban administration office and towns of other weredas so as to bring change to the community should also be strengthened.,learning and experience sharing platforms,community change on sanitation,Solution
2,Wereda offices and Municipality offices are having discussions on water and sanitation issues which are so valuable in order to make decisions on various activities including allocating budget for disposal site preparations.,wereda and municipality discussion on water and sanitation,budget allocation decisions for sanitation,Solution
2,"The most important issue that needs to be solved primarily is liquid disposal problem. So, we need to be given a piece of land by the urban administration office so that we will do the infrastructure.",land allocation for liquid disposal infrastructure,liquid waste management,Solution
2,There is sewage dumping cars parked in water and sewerage office. They can start work if the dumping site is allocated.,allocated dumping site,sewage dumping car operations,Solution
2,"When the septic tank gets full, there is lot of sanitation problem and a poisonous smell coming out. The place gets stinky. Dirt matter from toilets is carried to the open ditches which brings contamination.",full septic tanks,sanitation problems and contamination,Challenge
2,"There is sewerage system at all in the town. When road or any other infrastructure is done, sewerage system is not given attention. So, this needs to be given attention in the future.",sewerage system integration in infrastructure projects,sewerage coverage in town,Challenge
2,"Urban administration and water and Sewerage offices don't even know whose mandates are the work of sanitation. So, there needs to be a way to give awareness creation lessons to all the management Staffs.",clarity on mandate for sanitation work,accountability for liquid waste management,Challenge
2,"A kind of platform should be setup that makes the mayor, managers of municipality and water and sewerage offices to participate and make decisions thorough discussions.",leadership awareness creation platform,management decisions on sanitation,Solution
2,"Since there is no proper dumping site now, disposal are being thrown here and there which may damage other infrastructures.",proper dumping site,indiscriminate waste disposal,Challenge
2,"Some infrastructures are having decay due to waste that is disposed on them. So, disposal site an urgent matter to have in urban administration level.",indiscriminate waste disposal,infrastructure decay,Challenge
3,absence of land-fill site where solid or liquid waste can be dumped,land-fill site availability,solid and liquid waste disposal,Challenge
3,lack of coordinated actions to sewage and solid waste disposal system can also be another problem contributing a lot to the problem in the town,coordinated actions on sewage and solid waste disposal,waste disposal system functioning,Challenge
3,Lack of awareness from the community is another challenge affecting sustainability.,community awareness,sanitation service sustainability,Challenge
3,There is shortage of potable water in the wereda as a whole.,potable water availability,water service,Challenge
3,shortage of finance to implement water scheme that are already designed and shelfed,finance for water schemes,water scheme implementation,Challenge
3,Water infrastructures design and pace of construction is not congruent to the increasing population size in the area.,water infrastructure construction pace,congruence with population growth,Challenge
3,"Due to power outage, water pumps don't give service regularly as a result of which we are forced to provide water by shift.",power outage,water pump service regularity,Challenge
3,Lack of well-maintained and functioning roads connecting the main road with water pipes has also been a problem affecting proper inflow of the service.,road connectivity to water pipes,water service inflow,Challenge
3,Lack of one/all of these services will create a burden to the community in such a way that wastes will be leaked everywhere,waste disposal system completeness,waste leakage into community,Challenge
3,wastes will be leaked everywhere and everyone will be exposed to communicable diseases,waste leakage into community,exposure to communicable diseases,Challenge
3,Majority of the community don't have the know how about the consequences of the waste and they are not caring as such. What they do is just collecting waste from their home and throwing it everywhere,community knowledge of waste consequences,waste disposal behavior,Challenge
3,Municipality service doesn't have the capacity to collect the waste thrown here and there,municipality waste collection capacity,waste accumulation,Challenge
3,"that will gradually backfire against the community through disease, leaking to the water pumps and roads",waste accumulation,disease spread,Challenge
3,"that will gradually backfire against the community through disease, leaking to the water pumps and roads",waste accumulation,water pump contamination,Challenge
3,"persistent coordination is required among Land administration office, Water and Sewerage office and Municipality",inter-office coordination,waste and sanitation service effectiveness,Solution
3,Additional budget is needed for the project to be effective,budget allocation,WASH project effectiveness,Solution
3,the offices need to have common understanding about the problems we are facing now in order to bring a coordinated action together,common understanding among offices,coordinated action,Solution
3,"unless we have joint actions from the different actors working in WASH, we can't go far from what is stated in the paper",joint action among WASH actors,land-fill site development,Solution
3,look for sufficient money that would be used to pay for land compensation if we need it to quickly take land from individual farmers for the purpose of land-fill,land compensation payment,land-fill site acquisition,Solution
3,it won't be impossible if you negotiate and discuss with the people around there. Paying compensation to the people who may be displaced for this purpose is one that can solve the problem,negotiation and consultation with border area farmers,land-fill site establishment,Solution
3,The most probable solution could be providing cost effective hand-pump water wells.,cost-effective hand-pump water wells,potable water access,Solution
3,power outage problem should be solved either by requesting additional MW or buying an independent generator that would be used in the absence of power from the main grid,additional power supply or generator,water pump service continuity,Solution
3,developing cost-effective water pump machines so as to outreach the people with water and sanitation service,cost-effective water pump machines,water and sanitation service outreach,Solution
3,mobilize all resources to use maximum potential in developing WASH infrastructures and to use them sustainably,resource mobilization for WASH infrastructure,WASH infrastructure development,Solution
3,Continuous awareness creation schemes are also mandatory to get people and institutions alarmed of the consequences of sanitation and hygiene.,continuous awareness creation schemes,community and institutional response to sanitation and hygiene,Solution
3,"as far as the officials from the local government side are working diligently, we can change the attitude of our community",diligence of local government officials,community attitude toward sanitation,Solution
3,"if we can set a system that can monitor and mobilize people in this regard, we can bring changes",monitoring and mobilization system,community waste disposal behavior,Solution
4,"the number of population has been increasing but not parallel to the existing water supply. For this reason, the town is not supplying the water continuously but dwellers and services are receiving the supply in a periodic shift.",population growth,water supply adequacy,Challenge
4,there is sanitation problem which I think is as the result of the population growth.,population growth,sanitation problems,Challenge
4,Shortage of budget is another main challenge as a result of which no exceptionally reserved place is available to dispose both liquid and solid wastes.,budget,waste disposal sites,Challenge
4,"due to absence of dust bin/regular waste collectors, they are forced to left the waste on the streets. There is one truck for the whole community in town, it is impossible to get it easily, may be per week or sometimes after two weeks.",waste collection vehicles,street waste accumulation,Challenge
4,"There is one truck for the whole community in town, it is impossible to get it easily, may be per week or sometimes after two weeks. These is really aggravating the existing sanitation problems in the community.",waste collection vehicles,sanitation problems,Challenge
4,you can imagine how much the problem of sanitation could be given alarmingly increasing population is existing without communal waste disposal place.,communal waste disposal place,sanitation problems,Challenge
4,Lack of awareness on sanitation and hygiene: the residents have been facing such a very critical challenge regarding sanitation and hygiene. Some of them have already built their house with only 180 m2 but haven't prepared toilet.,awareness on sanitation and hygiene,sanitation practices,Challenge
4,Response from government officials is reflecting that there is shortage of land to build public toilet.,land availability,public toilet construction,Challenge
4,"there is also very limited number of human resources in health center, only four or five trained health care service providers are available for 37000 community members. it is impossible to address this population through the existing trained health care service providers.",health care service providers,hygiene and sanitation education coverage,Challenge
4,personal as well as community level hygiene and sanitation can be improved through education and continuous awareness creation but it is impossible to address this population through the existing trained health care service providers.,education and continuous awareness creation,personal and community hygiene,Challenge
4,the way we teach our community and the real problem on the ground are becoming incompatible. They know the causes and consequences of unprotected environment but you can observe that no one is applying that.,knowledge-practice gap,sanitation behavior,Challenge
4,"Most people use OD, they don't use toilet or latrine instead. If you trace back the reason why they use OD, the most probable answer would be because there is no public toilet.",public toilet availability,open defecation,Challenge
4,"Some individuals practice open defecation everywhere, it may be around the rivers and/or springs and on the other hand, people may use the same water for drinking as well as other household purposes. This will extensively affect their hygiene level and resulting infection by communicable disease.",open defecation near water sources,communicable disease,Challenge
4,People usually collect their waste with plastic bags but they leave it anywhere since there is no place to dispose the waste. The only thing they can do is collecting household wastes from their own home and disposing it everywhere in an open space be it street or road.,landfill site availability,open waste dumping,Challenge
4,"The other contributing factor for the problem of sanitation is shortage of water, there is limited supply of water. We get it through unpredictable schedule/shift. It should be expected to have water tanker in every toilet but very rare to exist.",water supply,toilet sanitation,Challenge
4,"Initially we need the finance itself to properly plan and implement projects especially regarding increment of water supply. For this, the government, the community and other stakeholders should work cooperatively.","government, community, and stakeholder cooperation",water supply projects,Solution
4,"teaching the community about personal hygiene continuously, on how to take care of themselves, and keep environmental sanitation through continuous education and awareness creation programs.",continuous hygiene education and awareness programs,personal and environmental sanitation,Solution
4,all these activities will be effective if and only if it is properly supported by adequate budget/finance.,budget and finance,hygiene education effectiveness,Solution
4,"the economic status of the community is very low, and have limited capacity even to keep their personal hygiene.",economic status,personal hygiene capacity,Challenge
4,"Migration from rural to urban areas has been alarmingly increased and I think that is beyond our capacity, but what we can do is that we can find ways out to improve the economic and awareness level of the community.",rural-to-urban migration,population pressure on services,Challenge
4,the government has been trying to construct 8 deep underground water projects. The projects are planned to serve not only for the town but for the rural community as well.,deep underground water projects,water supply,Solution
4,the budget is still becoming a bottleneck and not sufficient unless the community and other stakeholders participate on it largely.,community and stakeholder participation,water project funding sufficiency,Solution
4,Improving water utilization strategy can also be a solution. This can be done again through continuous awareness creation programs and demonstrations.,water utilization awareness programs,water utilization efficiency,Solution
4,Buying more vehicles to transport solid waste to an open land.,waste transport vehicles,solid waste removal,Solution
4,"Preparing landfill sites, I think it is not a big deal but officials do not give attention for this issue ... it is still very important to resolve sanitation problems in the town.",landfill site,sanitation problems,Solution
4,"officials do not give attention for this issue. They say, there is budget limitation for compensation to be paid for the farmers to access open land.",official attention to landfill,landfill site preparation,Challenge
4,WASH stakeholders coordination is needed as well to promote hygiene and sanitation and its sustainability. health sector needs the contribution of many stakeholders from different sectors as well as NGOs.,WASH stakeholder coordination,hygiene and sanitation promotion,Solution
4,every community member has to take their own responsibility to keep their environment clean and healthy and there comes a need to aware the community about this concern.,community responsibility for environmental cleanliness,hygiene and sanitation,Solution
4,"preparing landfill site and buying at least two more trucks to transport wastes could be the first priority ... if two more are added, then three trucks will be adequate enough to transport wastes easily and frequently. If these problems are solved then people will start collecting wastes and make ready for the trucks on a specific space provided.",landfill site and additional waste trucks,waste collection behavior,Solution
4,If these problems are solved then people will start collecting wastes and make ready for the trucks on a specific space provided. This will in turn improve the health conditions gradually.,waste collection behavior,health conditions,Solution
4,Improving water supply would come after preparing landfill sites and adding the number of trucks in the town.,water supply improvement,sanitation sustainability,Solution
5,the main problem of shortage of water is incompatability between the demand and supply. The total population of the town and the current supply of water is completely incompatible.,demand-supply gap,water shortage,Challenge
5,"This town doesn't have solid waste and liquid waste disposal system, there is no place prepared to dispose the waste which I hope has been the main challenge regarding sanitation problem of the town.",solid waste disposal system,sanitation problem,Challenge
5,There is no vehicle as well as solid waste disposal container to be used to transport the waste.,waste transport vehicles and containers,waste disposal,Challenge
5,The community memmbers could have kept their environment clean if they have got containers in their nearby area to collect the waste and make available for disposal.,nearby waste collection containers,proper waste disposal practices,Challenge
5,"With the exception of the work being conducted by the small and micro enterprise office which is collecting the waste through home to home visit every week, there is no permanently reserved place to dispose it.",permanent waste disposal site,waste disposal,Challenge
5,"area identification for liquid as well as solid waste disposal is already made by experts and offcials, they are on the way to pay compensation for the land ... As long as the land is still owned by the farmers, and the compensation is not paid yet, we can not say that the place is ours.",land compensation payment,waste disposal site availability,Challenge
5,I know that the community members dispose the waste unwisely and they are doing that because they don't have any options. We can not blam the community.,waste disposal options for community,proper waste disposal practices,Challenge
5,"the town municipality should take the responsibility for this problem, they have to develop good waste disposal management and awaress systems so that the community can apply.",municipal waste disposal management,proper waste disposal practices,Challenge
5,"Preparing container for every villages, and awareness creation for the community should be made so that the town will be clean enough.",village-level waste containers,town cleanliness,Challenge
5,The first solution could be increasing water supply to meet the demands of the current population. The current water supply should be made to absorbe the needs of population of the town.,water supply,population demand coverage,Solution
5,"Research must be made about the population, available water resources and possible alternative sources of water. When new alternative source is planned, it has to be prepared in a carfeul study and sustainable manner.",research on population and water resources,alternative water source planning,Solution
5,the water and sanitation service office by being together with the Mayor have the primary role to improve the supply of water through applying different alternative sources like deep well and others,"alternative water sources (deep well, etc.)",water supply,Solution
5,those two offices in particular can initiate a discussion platform with the community and other stakholders so that additional support can be easily obtained.,multi-stakeholder discussion platform,additional financial support,Solution
5,the community will be willing to support with their labor and finance if adequate awareness creation platforms are conducted.,awareness creation platforms,community labor and financial contributions,Solution
5,community's sanitation problem can be improved through continuous awareness creation program. The center of the awareness creation program rely on changing the attitude of the community to keep their environment clean.,continuous awareness creation programs,community sanitation practices,Solution
5,The community is ready to change their environment clean but the problem is associated with lack of appropriate waste disposal system. They would have placed all the waste properly if they have got proper places including containers.,proper waste collection places and containers,proper waste disposal practices,Solution
5,"they collect the waste and let the human porters to dispose it everywhere, be it infront of other's hose or in the road, including doing this at night ... The porters only care about their money and it is not their business whether they damp it wherever they need.",unregulated waste porters,indiscriminate waste dumping,Challenge
5,"Once the supply of water is improved then personal hygine as well as sanitation problem of the community will be improved definitely. This is due to the fact that water is the pillar for every thing, including but not limited to personal hygine as and environmental sanitation.",water supply,personal hygiene,Solution
5,"Once the supply of water is improved then personal hygine as well as sanitation problem of the community will be improved definitely. This is due to the fact that water is the pillar for every thing, including but not limited to personal hygine as and environmental sanitation.",water supply,environmental sanitation,Solution
5,There are water projects that have already been started and there is a greater hope that this will increase the volume when the project comes to an end.,water projects completion,water supply volume,Solution
5,"We are just looking for financial sources from both government and non-government organizations. Because the project needs more money to pay for compensation, infrustructure and other related materials",government and NGO financial support,sanitation project implementation,Solution
5,it needs the community members and the government to work cooperatively,community-government cooperation,sanitation project implementation,Solution
6,"in a WASH committee of five members, if two of them are men, three of them will be women. There is also improvement in taking care of water scheme points such as building fence around water points to protect the water.",women's leadership in WASH committees,water scheme management,Challenge
6,"When you come to the pastoralist community, people and animals are using the same source of water for drinking.",shared water source for people and animals,water quality,Challenge
6,There is also lack of a sense of belongingness among the people. Most of them don't take care of the water infrastructures.,sense of belongingness,water infrastructure protection,Challenge
6,"Women's participation in areas where women should participate is poor. For instance, if we invite some ten people to participate on community discussions, only two or three of them will appear. But women are the main users of water in most of their day-to-day activities",women's participation in community discussions,water and sanitation change,Challenge
6,"Our zonal water coverage is very law, may be around 33%. Compared to the geographical space and population size of our zone, the water coverage is very low.",water coverage,population water access,Challenge
6,"If the people are asked to give comments about the place where a water scheme should be during discussions, they will be happy for that since they feel that they are being consulted. But they are not properly consulted by the responsible governmental offices during designing and construction.",community consultation in water scheme design,community satisfaction and engagement,Challenge
6,discussions between the community and WASH stakeholders are not transparent and structured. It is customary to see that water drilling projects usually fail before completion owing to this problem even if we spend adequate budget.,community consultation in water scheme design,water drilling project completion,Challenge
6,"In areas where most pastoralists are living, there is scarcity of underground water since the area is dry and lowland, Selamago wereda is a good example. This is the worst place in terms of water access and coverage.",underground water scarcity,water access in pastoralist areas,Challenge
6,One borehole was constructed recently but not functioning because of a problem during design.,design quality,borehole functionality,Challenge
6,Designers should clearly discuss with the local people to get information about the potential sites and to check whether the proposed design is the best fit to the community or not.,designer consultation with local people,water scheme design fit,Solution
6,"Stakeholders, including us, need to be involved in awareness creation of the community especially women and their children.",stakeholder involvement in community awareness creation,community awareness on WASH,Solution
6,I think these problems will be solved by creating a forum for different stakeholders and working to increase the number of women development groups.,multi-stakeholder forum,WASH problem resolution,Solution
6,"working to increase the number of women development groups ... Once we establish women Development Groups for awareness creation program, stakeholders can participate on various activities",women development groups,community awareness on WASH,Solution
6,"If we work hard on women development groups, we will be effective in bringing change.",women development groups,stakeholder effectiveness in bringing change,Solution
6,"the coverage is much lower than the demand, there is a high need to work on boring more water schemes. Most of the budget that is allocated for the zone is spent for security purpose. Hence, the share of budget that should have been spent on water becomes minimized.",budget allocation for water schemes,water coverage,Solution
6,"Most of the budget that is allocated for the zone is spent for security purpose. Hence, the share of budget that should have been spent on water becomes minimized.",security conditions,budget allocation for water,Challenge
6,"The community can definitely bring about a major change with regard to water and sanitation services if we are really committed to closely work with, encourage and participate in the decision-making process, including designing.",community participation in decision-making and design,water and sanitation service improvement,Solution
6,we can have a procedure to punish people who don't properly contribute to the protection of the schemes.,penalties for non-contribution to scheme protection,water infrastructure protection,Solution
6,Strengthen belongingness and sense of ownership in the community. This could solve many of the problems.,community sense of ownership,water and sanitation problems,Solution
6,"The smaller administration, like the kebele and villages can formulate bylaws to control outliers and manager the schemes properly.",kebele and village bylaws,scheme management and protection,Solution
6,"When we are committed on this, we can have informed community that can manage and protect existing infrastructures without external intervention.",community capacity for self-management,external intervention dependency,Solution
7,"the springs do not discharge equal amount of water in the fall season and dry season. Less water is discharged in the dry season. The same thing is true for the boreholes, too.",seasonal spring discharge variability,water supply,Challenge
7,The problem with hygiene is due to failure to clean the water tanks. Not only the water tankers but also the water meter get dirty,water tank maintenance,water hygiene,Challenge
7,This is due to lack of hygienic awareness in how to use the products properly. The people don't even have sufficient awareness about how to use the plastic pots they use for collecting water.,hygienic awareness,proper use of water storage containers,Challenge
7,"When Water is not available for three to four days, the plastics become dirty and form algae. In this case, the people don't even wash them properly before using them.",water availability,water storage container cleanliness,Challenge
7,"Weak safety plan system is the major one; this is lack of monitoring water flow all the way from the source to the end users. So, even if we provide pure water, when it reaches at household level is not pure.",water flow monitoring,water quality at household level,Challenge
7,"The pipelines don't get repaired timely and they are very old. So, even if we provide pure water, when it reaches at household level is not pure.",timely pipeline repair,pipeline condition,Challenge
7,"The population size of Jinka town was 27000 in the last population census, in 2007 and now it is projected to be over 40,000. So, because of the population increment, the water service wouldn't be matching the demand.",population growth,water service coverage,Challenge
7,There is frequent water interruption due to electric power disruption.,electric power supply,water service continuity,Challenge
7,"Since the pipelines are also old, they get damaged frequently.",pipeline age,pipeline damage frequency,Challenge
7,"they get damaged frequently. As a result, lots of complaints are coming out from the beneficiaries.",pipeline damage,beneficiary complaints,Challenge
7,Our water billing system is manual and that is why beneficiaries don't settle their bills on time.,manual billing system,timely bill settlement,Challenge
7,There are lots good governance complaints from the people side.,good governance,beneficiary complaints,Challenge
7,We don't have also a laboratory that would be used to check water and its minerals continuously. We are using a laboratory borrowing from health office for the time being.,water quality testing laboratory,continuous water quality monitoring,Challenge
7,"we are doing a regular inspection, cleaning the tankers and applying chlorine from our side.",regular inspection and tank cleaning,water sanitation,Solution
7,"When we go out to the community, we also teach them about the possible ways of maintaining their sanitation. We believe that the community needs to have awareness creation schemes regularly.",community awareness creation schemes,sanitation maintenance practices,Solution
7,"lack of monitoring water flow all the way from the source to the end users... even if we provide pure water, when it reaches at household level is not pure... We need to implement a proper safety plan.",safety plan implementation,water quality at household level,Solution
7,We need to provide training and awareness programs using our technical experts to the community and kebele residents regularly.,technical expert training programs,community awareness,Solution
7,"The duty of awareness creation should be assigned to a different staff that can operate regularly. Recently, a woman has been assigned here to execute this work.",dedicated awareness creation staff,regular awareness programs,Solution
7,"There is no clear way out to solve the problem associated with the laboratory, but I think it is possible to make a difference by working with the different stakeholders.",stakeholder collaboration,laboratory access,Solution
7,"Regarding billing system, it is very important to focus on improving its program even if it is manual. I also believe that IRC will help on this if we plan and approach them.",IRC partnership,billing system improvement,Solution
7,We have planned to have four water projects to meet the demand. One of them is already going on with the help of an NGO known as World Vision.,NGO partnerships,water supply,Solution
7,"The biggest hope we have is on the newly planned water scheme supply that is going to be constructed on Ganery river. Once this project is completed, I hope that the problem of water supply in Jinka will be solved.",Ganery river water scheme,water supply,Solution
7,"The study is being conducted by World Bank's fund, and the first draft is submitted to the region and us. The next work that is expected from the consult is bidding.",World Bank funding,Ganery river water scheme,Solution
7,"There are plans to use standby generators to solve electrical interruption problems... Using standby generators, we have planned to solve the problem coming due to electric power interruption.",standby generators,water service continuity,Solution
7,The borehole project that was begun last year would create a huge impact on improving the water supply.,borehole project,water supply,Solution
7,establishing an automatic billing system will alleviate lots of problems. It helps the office to collect income on time,automatic billing system,income collection timeliness,Solution
7,it will help the people to save extra money that they are paying due to wrong manual water meter readings.,automatic billing system,billing accuracy,Solution
7,establishing an automatic billing system will alleviate lots of problems... This will also bring good governance.,automatic billing system,good governance,Solution
8,"the community is primarily looking for sense of ownership. Water schemes maintenance committees have already been set up for them, but they are still suffering from challenges related to operation. lack of ownership is the main problem",lack of ownership,water service sustainability,Challenge
8,the water sector often suffers from corruption because the infrastructure of the water sector is often damaged,corruption,water infrastructure condition,Challenge
8,lack of awareness is by far the main problem for the problem of water service sustainability,community awareness,water service sustainability,Challenge
8,the existing water schemes are not well functioning owing to lack of readily available technical experts,technical expert availability,water scheme functionality,Challenge
8,spare parts are not available when needed or one has to travel to regional cities to buy these spare parts... Many water schemes that are nonfunctional now,spare parts availability,water scheme functionality,Challenge
8,"In the capital of this zone, Jinka, spare parts are not available unless we go to Arbaminch or Addis Ababa (some 200 or 700 kms away). Going there for small items is not logical in terms of the time we are spending and financially not feasible",spare parts geographic accessibility,spare parts procurement,Challenge
8,Limited and inaccessible water sources are also challenges in this zone... Water sources are not widely available especially when we go far away from towns to the lowland areas,water source accessibility,water coverage,Challenge
8,"the nature of the rural life itself, majority of the people being farmer/pastoralist. They are spending most of their time with their animals and farms and there is no way to care for their sanitation",farmer/pastoralist lifestyle,sanitation care,Challenge
8,many of the institutions are frequently damaged due to the lack of maintenance timely. There are many water schemes that are nonfunctional now,timely maintenance,water scheme functionality,Challenge
8,The main cause is lack of awareness in personal hygiene,personal hygiene awareness,hygiene practices,Challenge
8,Lack of sufficient water may lead to have poor hygiene,water availability,hygiene practices,Challenge
8,Awareness creation is vital in order to increase the sense of ownership for the services,awareness creation programs,sense of ownership,Solution
8,there should be increased awareness creation programs to enable the community to utilize water resources efficiently,awareness creation programs,water resource utilization,Solution
8,"Some people are taking initiatives by themselves to train people to use the service properly. We should encourage these people, train them and upgrade their skills so that they can be models for others",local champion training,community adoption of water practices,Solution
8,We can organize people by village so that it is easier to manage,village-level organization,service management,Solution
8,we should increase the number of boreholes we have now especially in rural areas. Water facilities must now be expanded,borehole expansion,water coverage,Solution
8,"It is only through joint actions, involving the community (may be with labor), the government and NGOs that we can achieve this mission",multi-stakeholder financing,water scheme construction,Solution
8,The government has to take this responsibility and one of our problems is that there is no fixed budget,government budget,water scheme construction,Solution
8,"Once we have informative community members, it means that sanitation and hygiene services will be automatically improved",community awareness,sanitation and hygiene services,Solution
8,Once we have informative community members... People also start taking care of their facilities,community awareness,facility maintenance,Solution
8,People also start taking care of their facilities. This is sustainability for me,facility maintenance,service sustainability,Solution
9,"One is limited resources although it is a bit broad, resources like financial allocation...if enough resources are not allocated, we can't achieve much",financial allocation,water service delivery,Challenge
